Keyword,Title,Link,Excerpt
federal reserve,"Fed cites volatility, uncertainty as reasons to go slow on rate cuts",https://www.bworldonline.com/banking-finance/2024/11/27/637657/fed-cites-volatility-uncertainty-as-reasons-to-go-slow-on-rate-cuts/,"WASHINGTON — Federal Reserve officials appeared divided at their meeting earlier this month over how much farther they may need to cut interest rates,..."
no,Gov’t may issue peso Sukuk bonds next year,https://www.bworldonline.com/banking-finance/2024/11/27/637445/govt-may-issue-peso-sukuk-bonds-next-year/,"THE GOVERNMENT could issue peso-denominated Sukuk bonds next year, a central bank official said. “No amount yet. But in terms of timeline, Sukuk is part..."
asia united bank,AUB looks to increase e-wallet market share,https://www.bworldonline.com/banking-finance/2024/11/27/637394/aub-looks-to-increase-e-wallet-market-share/,ASIA UNITED Bank Corp. (AUB) is planning to add new features to its e-wallet HelloMoney as it plans to grow its customer base and...
development bank of the philippines,"S&P revises ratings outlook for DBP, PSALM to ‘positive’",https://www.bworldonline.com/banking-finance/2024/11/27/637444/sp-revises-ratings-outlook-for-dbp-psalm-to-positive/,S&P GLOBAL RATINGS has revised its ratings outlook for the Development Bank of the Philippines (DBP) and the Power Sector Assets and Liabilities Management...
banks,"PHL banks’ regulatory framework favors credit growth, says Fitch",https://www.bworldonline.com/banking-finance/2024/11/27/637442/phl-banks-regulatory-framework-favors-credit-growth-says-fitch/,"THE PHILIPPINES’ banking regulatory framework favors credit growth, Fitch Ratings said. In a report released on Tuesday, the Philippines was given a “bb+” rating for..."
coin deposit machine,Coin deposit machine collections hit P1.082B,https://www.bworldonline.com/banking-finance/2024/11/26/637043/coin-deposit-machine-collections-hit-p1-082b/,THE BANGKO SENTRAL ng Pilipinas’ (BSP) coin deposit machines have collected P1.082 billion worth of coins as of Nov. 15. This was 7.3% higher than...
no,Coin deposit machine collections hit P1.082B,https://www.bworldonline.com/banking-finance/2024/11/26/637043/coin-deposit-machine-collections-hit-p1-082b/,THE BANGKO SENTRAL ng Pilipinas’ (BSP) coin deposit machines have collected P1.082 billion worth of coins as of Nov. 15. This was 7.3% higher than...
european central bank,ECB policy should not remain restrictive for too long — Lane,https://www.bworldonline.com/banking-finance/2024/11/26/637042/ecb-policy-should-not-remain-restrictive-for-too-long-lane/,PARIS — There is still some way to go before euro zone inflation is sustainably back at 2% but European Central Bank (ECB) policy...
no,ECB policy should not remain restrictive for too long — Lane,https://www.bworldonline.com/banking-finance/2024/11/26/637042/ecb-policy-should-not-remain-restrictive-for-too-long-lane/,PARIS — There is still some way to go before euro zone inflation is sustainably back at 2% but European Central Bank (ECB) policy...
no,Tourism industry urged to look beyond ‘fun’ and develop non-traditional visitor offerings,https://www.bworldonline.com/economy/2024/11/27/637859/tourism-industry-urged-to-look-beyond-fun-and-develop-non-traditional-visitor-offerings/,"THE tourism industry must start developing other potential attractions beyond the usual fun and adventure-oriented offerings, presenting visitors a diversified and “multi-dimensional” experience, Tourism..."
no,Balisacan touts competition policy as tool for boosting economic efficiency,https://www.bworldonline.com/economy/2024/11/27/637858/balisacan-touts-competition-policy-as-tool-for-boosting-economic-efficiency/,"THE GOVERNMENT needs to push competition policy and legislation to make the economy more efficient as companies gear up to enter international markets, National..."
world bank,PHL obtains World Bank financing to rehab calamity-damaged schools,https://www.bworldonline.com/economy/2024/11/27/637857/phl-obtains-world-bank-financing-to-rehab-calamity-damaged-schools/,"THE PHILIPPINES has signed a funding agreement with the International Bank for Reconstruction and Development (IBRD), an arm of the World Bank, to rebuild..."
no,Counterfeit products valued at P7 billion found in Binondo mall,https://www.bworldonline.com/economy/2024/11/27/637854/counterfeit-products-valued-at-p7-billion-found-in-binondo-mall/,"THE Bureau of Customs (BoC) said it seized P7 billion worth of counterfeit branded products from warehouses at the 168 Mall in Binondo, Manila. On..."
no,"CREATE MORE, PPP reforms inspiring ‘cautious optimism’",https://www.bworldonline.com/economy/2024/11/26/637537/create-more-ppp-reforms-inspiring-cautious-optimism/,"RECENT economic reforms have raised confidence in the Philippines prospects, though ease of doing business remains the main challenge in attracting investors, business leaders..."
no,"Lebanese sources: Biden, Macron set to announce Israel-Hezbollah truce",https://www.bworldonline.com/world/2024/11/26/637406/lebanese-sources-biden-macron-set-to-announce-israel-hezbollah-truce/,JERUSALEM/BEIRUT — US President Joseph R. Biden and French President Emmanuel Macron are expected to announce a ceasefire in Lebanon between armed group Hezbollah...
